timestamp,VOC,CH4,SMOKE,CO,ODOR,label
64880,351,440,154,89,593,cola
64896,351,439,153,89,596,cola
64912,351,438,153,89,598,cola
64928,350,437,153,89,600,cola
64944,350,436,153,88,603,cola
64960,349,436,152,88,604,cola
64976,349,438,152,88,606,cola
64992,349,442,153,88,607,cola
65008,349,446,153,87,608,cola
65024,349,450,153,87,609,cola
65040,349,452,153,87,61,cola
,,,,,,cola
,,,,,,cola
,,,,,,cola
,,,,,,cola
,,,,,,cola
,,,,,,cola
,,,,,,cola
,,,,,,cola
,,,,,,cola
,,,,,,cola
,,,,,,cola
,,,,,,cola
,,,,,,cola
,,,,,,cola
,,,,,,cola
,,,,,,cola
,,,,,,cola
,,,,,,cola
,,,,,,cola
,,,,,,cola
,,,,,,cola
,,,,,,cola
,,,,,,cola
,,,,,,cola
25216,434,468,224,91,638,cola
25232,433,460,225,93,641,cola
25248,433,453,226,93,644,cola
25264,431,448,225,94,648,cola
25280,431,445,223,93,650,cola
25296,431,443,222,93,650,cola
25312,432,443,222,93,648,cola
25328,433,444,222,93,645,cola
25344,435,446,223,91,643,cola
25360,436,451,223,89,640,cola
25376,438,456,222,87,637,cola
25392,440,457,221,85,634,cola
25408,441,458,220,84,632,cola
25424,442,460,219,83,631,cola
25440,439,462,219,82,630,cola
25456,436,457,219,81,630,cola
25472,435,448,219,81,629,cola
25488,434,443,218,80,629,cola
25504,434,442,216,80,629,cola
25520,433,441,215,80,629,cola
25536,433,440,215,79,629,cola
25552,432,438,214,79,629,cola
25568,429,436,213,78,629,cola
25584,428,433,212,78,629,cola
25600,428,432,210,77,629,cola
25616,427,435,209,77,630,cola
25632,427,440,208,77,630,cola
25648,428,446,208,78,628,cola
25664,431,450,208,78,626,cola
25680,433,452,207,78,624,cola
25696,436,453,206,78,620,cola
25712,438,451,206,77,617,cola
25728,439,448,206,76,616,cola
25744,438,444,205,75,614,cola
25760,437,440,204,74,612,cola
25776,436,437,203,74,612,cola
25792,434,434,202,73,612,cola
25808,433,431,201,73,612,cola
25824,432,428,199,72,612,cola
25840,428,423,198,72,611,cola
25856,426,419,196,71,611,cola
25872,424,422,195,71,610,cola
25888,422,424,194,71,609,cola
25904,420,425,195,71,610,cola
25920,419,424,195,71,611,cola
25936,417,425,196,71,612,cola
25952,417,426,197,71,612,cola
25968,416,429,197,71,612,cola
25984,415,433,198,72,613,cola
26000,415,437,198,72,613,cola
26016,415,440,198,72,612,cola
26032,414,438,198,72,612,cola
26048,413,428,198,72,612,cola
26064,411,419,196,73,612,cola
26080,409,409,193,73,613,cola
26096,408,409,191,72,612,cola
26112,408,412,191,71,611,cola
26128,407,423,191,70,610,cola
26144,410,435,191,70,609,cola
26160,414,445,191,70,608,cola
26176,419,453,191,70,606,cola
26192,421,460,191,69,606,cola
26208,422,464,192,69,605,cola
26224,423,464,193,70,605,cola
26240,422,458,194,70,605,cola
26256,421,450,195,71,604,cola
26272,420,443,195,72,604,cola
26288,419,439,195,72,604,cola
26304,419,436,195,73,603,cola
26320,419,436,194,73,603,cola
26336,418,437,194,74,601,cola
26352,418,439,194,74,600,cola
26368,418,440,193,74,599,cola
26384,417,440,193,73,598,cola
26400,416,440,193,73,597,cola
26416,415,438,192,72,596,cola
26432,415,435,192,71,596,cola
